Thread Count,Custom Sort,Collections.sort
1,4.4085654000227805,3.5867381999851204
2,2.705302999995183,3.627238799992483
3,2.6253714000049513,3.624295300018275
4,2.1555384999956004,3.654161300015403
5,2.1444782999751624,3.638827799994033
6,2.146787600009702,3.629977200005669
7,2.512528099992778,3.579664600023534
8,2.3534126000013202,3.582064799993532
