Thread Count,Custom Sort,Collections.sort
1,9.410001803189516E-5,1.750001683831215E-5
2,2.8730000485666096E-4,1.3599987141788006E-5
3,1.5020000864751637E-4,4.9299997044727206E-5
4,1.7189999925903976E-4,1.2899981811642647E-5
5,2.6450000586919487E-4,1.4499993994832039E-5
6,1.9370001973584294E-4,1.8499995348975062E-5
7,3.0220000189729035E-4,2.0800012862309813E-5
8,3.521000035107136E-4,1.2500007869675756E-5
