Thread Count,Custom Sort,Collections.sort
1,1.6540000797249377E-4,1.467999827582389E-4
2,1.5520001761615276E-4,1.4519999967887998E-4
3,1.498999772593379E-4,1.4420002116821706E-4
4,2.2750001517124474E-4,1.4219997683539987E-4
5,2.1539998124353588E-4,1.5050001093186438E-4
6,3.338000096846372E-4,1.5889998758211732E-4
7,4.495999892242253E-4,1.561000244691968E-4
8,4.044999950565398E-4,1.4379998901858926E-4
