Array Length,Custom Sort,Collections.sort
1,3.295999995316379E-4,9.200004569720477E-6
2,2.2589999571209773E-4,8.000002708286047E-6
3,1.768000001902692E-4,3.899993316736072E-6
4,2.660000027390197E-4,4.099994839634746E-6
5,1.7759999900590628E-4,3.2000025385059416E-6
6,1.7939999816007912E-4,3.5000048228539526E-6
7,1.8850000196835026E-4,3.6999990697950125E-6
8,1.982000030693598E-4,2.4999972083605826E-6
