Array Length,Custom Sort,Collections.sort
1,1.3410000246949494E-4,1.7800004570744932E-5
2,1.9840000459225848E-4,5.2600000344682485E-5
3,1.9330000213813037E-4,1.7799997294787318E-5
4,2.969999986817129E-4,1.5900004655122757E-5
5,3.757999947993085E-4,1.4700002793688327E-5
6,4.298999992897734E-4,1.5700003132224083E-5
7,4.916999969282188E-4,1.4400000509340316E-5
8,5.283999998937361E-4,1.9500002963468432E-5
