Array Length,Custom Sort,Collections.sort
1,7.748999996692874E-4,7.590000313939527E-5
2,3.1350000062957406E-4,4.269999772077426E-5
3,2.8390000079525635E-4,5.420000525191426E-5
4,3.361999988555908E-4,5.520000559045002E-5
5,2.7370000316295773E-4,5.18000015290454E-5
6,2.2799999715061858E-4,6.749999738531187E-5
7,2.4249999842140824E-4,6.799993570894003E-6
8,1.9109999993816018E-4,6.199996278155595E-6
