Thread Count,Custom Sort,Collections.sort
1,3.1269999453797936E-4,1.09999964479357E-5
2,1.8099998123943806E-4,2.710000262595713E-5
3,1.8929998623207211E-4,5.600013537332416E-6
4,1.9049999536946416E-4,5.2000104915350676E-6
5,1.7640000442042947E-4,2.600019797682762E-6
6,1.542000100016594E-4,3.1999952625483274E-6
7,1.7399998614564538E-4,3.2999960239976645E-6
8,1.154000055976212E-4,2.9999937396496534E-6
