Array Length,Custom Sort,Collections.sort
1,4.1000000055646524E-4,7.619000025442801E-4
2,5.266000007395633E-4,7.483000008505769E-4
3,4.957999990438111E-4,5.440000022645108E-4
4,0.0010646000009728596,4.6519999887095764E-4
5,6.632000004174188E-4,4.415000003064051E-4
6,0.0026947000005748123,4.793999978573993E-4
7,7.913000008556992E-4,3.74399998690933E-4
8,7.38800001272466E-4,3.521000035107136E-4
