Array Length,Custom Sort,Collections.sort
1,9.763066199993773,6.852324899999076
2,5.668877299998712,5.957850999999209
3,5.950670199999877,6.383635099999083
4,4.691964300000109,6.550115199999709
5,4.973558400000911,6.4006472999972175
6,4.932825199997751,6.422761399997398
7,6.358674300005077,6.645102800001041
8,6.444694699996035,6.489520999995875
