Thread Count,Custom Sort,Collections.sort
1,4.180000105407089E-4,3.81199992261827E-4
2,6.65400002617389E-4,2.536000101827085E-4
3,6.297999934758991E-4,2.8920001932419837E-4
4,6.60100020468235E-4,1.7919999663718045E-4
5,5.34999999217689E-4,1.871999993454665E-4
6,6.757999944966286E-4,1.7320000915788114E-4
7,6.397999823093414E-4,1.9340001745149493E-4
8,6.370000191964209E-4,1.9959997734986246E-4
